Institution_OrgUEINum_C,Sum,Count,Institution_Name_C
LBCNAREKWMY9,1943674.0,10,Saint Francis University
DSBDTP8FWZE9,13474964.0,10,NUETA HIDATSA SAHNISH COLLEGE
RGXCR1T4F7M6,3143690.0,10,Southwestern University
C155UU2TXCP3,1127332.0,10,RUSH UNIVERSITY MEDICAL CENTER
N89RSNHEG867,981787.0,10,Hartwick College
L8QSLB2KCRE5,6764527.0,10,Regents of the University of Michigan - Flint
University of Arkansas Little Rock,2180053.0,10,University of Arkansas Little Rock
NGCNCJ1X6XA4,4699602.0,10,Oklahoma Medical Research Foundation
Z33BKKJSLZV5,3418055.0,10,Hood College
RDG1PW7YKSM9,2313064.0,10,Bethel University
Y2LPCYVD2BG9,1467480.0,10,History of Science Society
L8LEALMDVNB7,2567521.0,10,SimBiotic Software
RL3WM66VHRM5,8512400.0,10,Hillsborough Community College
N6KTF29Z39Z4,1185869.0,10,American Institute of Biological Sciences
JJA8W7NP7KQ9,5787900.0,10,Normandale Community College
"Parallel Synthesis Technologies, Inc",1397021.0,10,"Parallel Synthesis Technologies, Inc"
NDCFZK2BEQY9,22459115.0,10,La Salle University
NDAWDC7EEV78,8755422.0,10,"Association for Women in Science, Inc."
National Institutes of Health,1588346.0,10,National Institutes of Health
ZZN7XB8KABJ4,1379406.0,10,Droplet Measurement Technologies
NYSMMLJWNRF6,3916917.0,10,Shippensburg University of Pennsylvania
CVVPKNZLRM41,2825954.0,10,"STRATTON PARK ENGINEERING CO., INC."
Z3X2G8N28DN3,17141046.0,10,Greater Washington Educational Telecommunications Association
R7WKWJMB2RL3,2421650.0,10,Drew University
"United Engineering Trustees, Inc.",183965.0,10,"United Engineering Trustees, Inc."
Q7CRZX7MD775,2626833.0,10,Virginia Union University
DJ8RFQ4JJW25,4449380.0,10,Rocky Mountain Regional CASU
XPW4K3UPLAG9,3341424.0,10,Council of Chief State School Officers
PCUKYDN6M118,7008802.0,10,MOLLOY UNIVERSITY
JRJDPT749TH7,3792869.0,10,Social Science Research Council
SZ32VTCXM799,6100794.0,10,Seattle Children's Hospital
LF77GRM3FWG5,95244130.0,10,University of Nebraska
Department of Energy,3293452.0,10,Department of Energy
S2SVKZRAE575,3013628.0,10,American Mathematical Association of Two-Year College
XLE3V1NNJLK6,2370661.0,10,College of Saint Benedict
DKSMGAFW4CS8,3878782.0,10,University of Wisconsin-Stevens Point
TRLPXSJJDKQ7,2217327.0,10,Sarah Lawrence College
UM19R9XPL1N5,1854462.0,10,Louisiana State University Shreveport
ENBLDJUN4N73,1131393.0,10,Lawrence Berkeley Laboratory
UUKAGAEN4ST3,13776231.0,10,New England Aquarium Corporation
KREBJL9KXDT6,2071912.0,10,Illinois State Museum Society
wTe Corporation,1399923.0,10,wTe Corporation
TLJEX1SKJY61,1926453.0,10,"Bridger Photonics, INC"
N1WUMCWFFFB3,4779920.0,9,Saint Joseph's College
"InterPhases Solar, Inc.",1900000.0,9,"InterPhases Solar, Inc."
KAAMMFK1JJL8,11952461.0,9,Dine College
EMXDXET56K76,2829125.0,9,"Florida Institute for Human and Machine Cognition, Inc."
QW6TSNVXYKG3,7383570.0,9,"HARRISBURG UNIVERSITY OF SCIENCE AND TECHNOLOGY, THE"
J8D2HLSXKHA5,2286468.0,9,University of the South
UEMGN89X7378,5928111.0,9,Air Force Institute of Tech
LCB6RKRFBSC3,623130.0,9,Loyola University New Orleans
SYHLCKP7K2J3,5457378.0,9,St. Petersburg College
MLFBN8MB6N45,8185493.0,9,Cankdeska Cikana Community College
18F GSA,940459.0,9,18F GSA
American Society For Microbiology,341433.0,9,American Society For Microbiology
KYWWQMMM1PZ4,2427188.0,9,Fairleigh Dickinson University
QLWEHRYSRL77,3481621.0,9,"SageFox Consulting Group, LLC"
THKNELBAWJG7,3788747.0,9,Coppin State University
TC2YRNMM13L5,9632662.0,9,Kirkwood Community College
C3B8EZBZSCP3,3259194.0,9,Florida Memorial University
EKXBBU5MVJN5,5754632.0,9,Elmhurst University
NYHECMHUJJH8,4904728.0,9,Front Range Community College
QMNKAZSELHR8,1190350.0,9,Wheaton College
SWEDISH POLAR RESEARCH SECRETARIAT,30389848.0,9,SWEDISH POLAR RESEARCH SECRETARIAT
LBK5RA7GQKC5,3196509.0,9,Island Institute
"Navy, United States Department of the",13508107.0,9,"Navy, United States Department of the"
US63QBPHZMD8,2638610.0,9,National Society of Black Engineers
VAJ2W9CDYXT9,800000.0,9,MicroFab Technologies Inc
C1BAGLG8REL5,1300000.0,9,Sun Innovations Inc
V68VE574B1K7,10857097.0,9,Moraine Valley Community College
CAJZKXCNUDN1,1184982.0,9,Wofford College
GX1TUDQ8F9M5,5380540.0,9,"Foundation for Applied Molecular Evolution, Inc."
DRF8L4LUMKK8,2846291.0,9,Brookings Institution
ET8RBMXCF117,5320139.0,9,National Center for Genome Resources
LABUVEY8F457,9008763.0,9,University Industry Demonstration Partnership
ZK7ECNMN7MM5,1499997.0,9,Nanosonic Inc.
K8UCJMA9VW39,2122926.0,9,"ISCA TECHNOLOGIES, INC."
JG9AQB24RPW3,3080710.0,9,National Aeronautics and Space Administration
"Divergence, Inc.",1604037.0,9,"Divergence, Inc."
F7BAGMPLN697,4598397.0,9,Mississippi Gulf Coast Community College
VSM3J7571EF9,2148894.0,9,IMAGING SYSTEMS TECHNOLOGY INC.
W4MVX37328T3,2135157.0,9,Bureau of Reclamation
EEL3JSNNSUL6,10015073.0,9,Dakota County Technical College
NANOMATERIALS AND NANOFABRICATION LABORATORIES,1997142.0,9,NANOMATERIALS AND NANOFABRICATION LABORATORIES
K5D1NNQKJNX5,2385640.0,9,Florida Polytechnic University
RNLTFNJPV5K8,6247042.0,9,Southern University New Orleans
HHJ7JW5MDEC4,2495979.0,9,Society for Personality and Social Psychology
"Ann Becker and Associates, Inc",1921895.0,9,"Ann Becker and Associates, Inc"
YRNHDHY2USK4,4398535.0,9,Moravian University
NARVJNJRWLX7,144525861.0,9,MPC Corporation
P7MYG7JPFPZ2,1896452.0,9,"VCOM3D, INC."
JQQDRDJSWFE1,4064298.0,9,St Peter's University
ADVANCED THERMAL TECHNOLOGIES,1049322.0,9,ADVANCED THERMAL TECHNOLOGIES
M3GAQBN4BWH6,9809113.0,9,HudsonAlpha Institute for Biotechnology
Department of Homeland Security,206177.0,9,Department of Homeland Security
HUL3UDBMBDA5,56972998.0,9,U.S. Army Corps of Engineers
K1NNZ8NJRD55,2299605.0,9,Center For Cultural&Tech Interchg East&West
K1ACT4WVCRH5,1277236.0,9,National Council of Teachers of Mathematics
DMFKFTTGNA84,6736217.0,9,Indian Hills Community College
JJ67LYFKNYK2,2424532.0,9,Parkland College
KPY2TTAB3371,7332591.0,9,ALAMO COMMUNITY COLLEGE DISTRICT - St. Philip's College
FH92NMVB8XL6,3123672.0,9,Roosevelt University
NG92WBEKSNA7,10777798.0,9,"Museum of Science, Inc."
WCNKMBVN2CB9,2652235.0,9,Stockton University
LMCTPLQMR1F5,6434592.0,9,Point Reyes Bird Observatory
KLHRQ5K4GE35,12783016.0,9,International Science Council
JYUJFZW1J4Q6,2752369.0,9,Itasca Community College
LKF5V7KM5FZ4,1243704.0,9,Southeastern Universities Research Association
University of Maryland Biotechnology Institute,4466998.0,9,University of Maryland Biotechnology Institute
F14HC2DQJ7F8,10184498.0,9,Montgomery County Community College
Claremont Graduate University,752809.0,9,Claremont Graduate University
X6UVVKN7ZDS3,1485879.0,9,Cache Corporation
NASA/Goddard Space Flight Center/Wallops Flight Facility,1472279.0,9,NASA/Goddard Space Flight Center/Wallops Flight Facility
P3XNEJGCBJL4,7408687.0,9,Eastern Florida State College
F52PB51ZU3T4,6101990.0,9,Gadsden State Community College
FMC4ER2TSTN7,3307562.0,8,The College of Idaho
SYNERGY INNOVATIONS INC,1399396.0,8,SYNERGY INNOVATIONS INC
HDHVQ4EF8A89,1819175.0,8,Lockheed-Martin Advanced Technology Center
Z12GHW4MWNG8,5155554.0,8,Oakwood College
FR83YEK6Z1S3,1406288.0,8,Taylor University
L9NKL7V8CKY5,936046.0,8,Birmingham Southern College
D1G7HV5SKPA4,6942743.0,8,Polytechnic University of Puerto Rico
CUNY John Jay College of Criminal Justice,2252859.0,8,CUNY John Jay College of Criminal Justice
D4PSS54U3NN1,1820272.0,8,Goucher College
YM8NW6G8N9Y3,4088705.0,8,Marist College
MAXWELL SENSORS INC.,1268033.0,8,MAXWELL SENSORS INC.
HJWBSZRT1MA7,3148363.0,8,Massachusetts Bay Community College
N3UTNKGNEZK9,1041779.0,8,Bennington College
CUJJB986WYM5,240078.0,8,International Society for Computational Biology
SYAGEN TECHNOLOGY INC,1397064.0,8,SYAGEN TECHNOLOGY INC
LQPJKZ61MJ89,4758203.0,8,Chippewa Valley Technical College
Spire Corporation,945453.0,8,Spire Corporation
NAZGJBQ5SJP5,1438987.0,8,Huston-Tillotson University
HQGUGJK3CAW3,4162573.0,8,Heritage University
FTJ1AV18B3X5,6994278.0,8,Eduworks Corporation
HSLAE13UYDD6,8752500.0,8,Aspen Center For Physics
Quantum Simulations Incorporated,2228528.0,8,Quantum Simulations Incorporated
"Harbor Branch Oceanographic Institution, Inc.",3978676.0,8,"Harbor Branch Oceanographic Institution, Inc."
TKS7NBB4JDN6,4150072.0,8,Ecohealth Alliance inc.
CYDGCV87G7Y7,2065562.0,8,AGENTSHEETS INC
F3X4LHJZYT97,900000.0,8,"Exelus, Inc."
SKW6Q67MKQN1,1575000.0,8,"Syandus, Inc."
MNM8WLBH5DZ5,4550148.0,8,Lawson State Community College
TDNXM9CDFMA6,3020383.0,8,"REAL-TIME ANALYZERS, INCORPORATED"
New York University Medical Center,2133422.0,8,New York University Medical Center
"Newton Photonics, Inc.",2014845.0,8,"Newton Photonics, Inc."
SJR5MQHSLWT6,13938807.0,8,University of British Columbia
TAN2HSAEMA51,18484395.0,8,Saddleback College
GTPCCLD8LK26,700000.0,8,"SFC Fluidics, Inc"
FH56LZ4C6AV6,1698171.0,8,"ADVR, INC"
CFLWSHQJQ2L7,5379662.0,8,Mount Saint Mary's University
Agiltron Incorporated,1649600.0,8,Agiltron Incorporated
N4TZEXU76AN6,5197355.0,8,Brookdale Community College
SJHAGXNEXB51,2973875.0,8,SUNY Onondaga Community College
T862L2C8KCJ3,699558.0,8,Kytaro Inc.
"INTEGRATED PHOTONICS, INC.",1049964.0,8,"INTEGRATED PHOTONICS, INC."
CFRYVNMY9WV8,3923434.0,8,Oakton Community College
LJ3JQCZAM1H3,3214649.0,8,University of Mary Washington
L7TZMMZ98BQ4,9246937.0,8,FUTURE EARTH
F85KK24QARU9,2634115.0,8,Ohio Northern University
TK9JT3DMDW14,1044772.0,8,POWDERMET INC
W2X5N6359N14,1460696.0,8,McNeese State University
TPRBJ5MBK225,3352858.0,8,Landmark College
GENEX TECHNOLOGIES INC,1200000.0,8,GENEX TECHNOLOGIES INC
LT6GBAABUG33,3953464.0,8,Fairmont State University
FF1XVJMDYVR1,3503694.0,8,Institute For Cancer Research
MR6DMEM9SLH1,8334990.0,8,Hinds Community College-Utica
National Institute of Standards and Technology,323467.0,8,National Institute of Standards and Technology
CLZXHJ5A8G84,13213605.0,8,The College Board
GGJ6YZN96J69,309717.0,8,Department of Treasury
Wake Forest University School of Medicine,1019778.0,8,Wake Forest University School of Medicine
WFRGD7JMPAD3,5743181.0,8,Southwestern College
LFCSBTSRFJU2,1150000.0,8,EN'URGA INC
PGHYSCY4FMN9,8286533.0,8,Jarvis Christian College
CLBAN68MDKP5,7175795.0,8,Macomb Community College
F8HABDW7DVG8,1999999.0,8,Materials and Electrochemical Research Corporation (MER)
MLVQMLJLC139,447947.0,8,"SVT ASSOCIATES, INCORPORATED"
National Geographic Television,8285434.0,8,National Geographic Television
NWQTQ4Q91NW5,959612.0,8,Troy University
X8BEWZU5KHY9,7766941.0,8,The National GEM Consortium
X6L3Z7TS3RE3,2036160.0,8,Ashland University
Q62UV885QGS9,1569720.0,8,Law and Society Association
DQKWTYPJCXP7,7837181.0,8,Fort Peck Community College
M85GDH8N7U74,3263562.0,8,Missouri Western State University
DQ7YZMCK5D23,6028472.0,8,MACRO INTERNATIONAL
NK5CPKU3K7T8,1774637.0,8,SUNY College of Technology Farmingdale
QMHWYGPV2FN6,4017316.0,8,North Arkansas College
QMKDAZEGH1M1,3016528.0,8,Linn Benton Community College
University of Texas Medical Branch at Galveston,1147564.0,8,University of Texas Medical Branch at Galveston
J8FNZF53QBD3,4297731.0,8,Shaw University
V5NZBFQN1A28,4060122.0,8,Texas Lutheran University
Dickinson College,1245096.0,8,Dickinson College
MEMJEJHP6KZ6,4498295.0,8,University of North Alabama
E54NDQ9Y17M1,2300000.0,8,DAKOTA TECHNOLOGIES INC
UFJTL7QKSXH1,4284585.0,8,Allan Hancock College
ZC4PPSM47QQ3,1899491.0,8,"TPL, Inc."
JTQRBGTSWUM7,2337343.0,8,Saint Vincent College
ELJLKEWNJP99,2833484.0,8,RJH Scientific Incorporated
X5S7PNXMJMC7,6062909.0,8,Morehouse School of Medicine
QB24LJLXJXM3,2022244.0,8,FPF Education and Innovation Foundation
KBQWP4JGA355,1738773.0,8,Los Rios Community College District
MJWEKJMGD7R9,3020097.0,8,Earlham College
XIDEX CORPORATION,1000000.0,8,XIDEX CORPORATION
NK9YF8C8KFJ8,2085537.0,8,Del Mar College
QCKAHGYGVCE4,1853110.0,8,Bay Area Environmental Research Institute
ZKGYWDLKCU93,4754182.0,8,Eastern Mennonite University
QTK9XER73JG4,2999529.0,8,Montana State University - Billings
NCHSEV4M47D9,2209708.0,8,Lake Forest College
DJEVE39BYP16,5068425.0,8,Chabot Space and Science Center
KCC2SLUYACV3,2174267.0,8,Eastern Oregon University
EJM6MLJ88NS3,2350962.0,8,Westminster College
University of Mississippi Medical Center,1382428.0,8,University of Mississippi Medical Center
JTNDE6EBHL41,3657926.0,8,Trident Technical College
JV1NMHVGBNV8,137118.0,8,Internet Society
XKPJLU2BUEG8,2915732.0,8,Cabrillo College
GX1LMNCH1K79,7192438.0,7,Tidewater Community College
RGN2BNEVNG73,1404641.0,7,"NEOCERA, LLC"
G48GS8DFMJA8,4230303.0,7,Adams State University
Southeast TechInventures,99617.0,7,Southeast TechInventures
EBTQKWWD8HJ4,4707768.0,7,Nashville State Community College
YBB6XUPN9CG9,512240.0,7,Vishwamitra Research Institute
VideoMining Corporation,981203.0,7,VideoMining Corporation
Claremont McKenna College,1774813.0,7,Claremont McKenna College
VPMJLJMEXK73,1746206.0,7,"Lake Shore Cryotronics, Inc"
KP2GT62BFKC8,6131354.0,7,National Alliance for Partnerships in Equity Education Foundatio
NNULQVJJCKY7,1464851.0,7,Barry University
T8LKNJC8D5R3,9163890.0,7,"INSTITUTE FOR FUTURE INTELLIGENCE, INC."
Fisheries and Oceans Canada,11884000.0,7,Fisheries and Oceans Canada
RFC3J5FSPVX6,963827.0,7,Clarion University of Pennsylvania
Exa Corporation,1899774.0,7,Exa Corporation
YXJGGNC5J269,3563035.0,7,University of Kansas Medical Center Research Institute Inc
Milwaukee School of Engineering,1571744.0,7,Milwaukee School of Engineering
KQ8SV6752C73,961156.0,7,Francis Marion University
PJXXNMPBFM32,742102.0,7,John Wesley Powell Center
MD4AMZQD6955,625000.0,7,"Ocean NanoTech, LLC"
P1RFLGVGWUV3,1975862.0,7,Association of American Universities
HLTMJNJ8XJX1,1649959.0,7,Workplace Technologies Research Inc.
SKX6AXF9ZTM3,2801240.0,7,St Joseph's Hospital and Medical Center
K5EBY26GSFJ7,1964028.0,7,Columbia College
H44FTK25AME3,11726286.0,7,Chaminade University of Honolulu
M8LLWFW17445,2507483.0,7,New York State Education Department
M2D5B4MCF563,2336514.0,7,Lycoming College
QKBNWJKG79K1,10780941.0,7,Bemidji State University
ILLUMINEX CORP,650000.0,7,ILLUMINEX CORP
Small Business Administration,2729900.0,7,Small Business Administration
M3SSQY9ACBN5,1654824.0,7,SUNY College at Plattsburgh
"T/J Technologies, Inc",1999999.0,7,"T/J Technologies, Inc"
FSCUSJ12BVA8,2466795.0,7,Utica College
UDPDU3NFNEP7,4085335.0,7,College of Lake County
GUHWN3FM9PB5,468332.0,7,"ImageCat, Inc."
LQPQELJDUPP4,1924706.0,7,Baker University
WisdomTools Enterprises Inc,2424993.0,7,WisdomTools Enterprises Inc
BOSTON MICROSYSTEMS INC,1400000.0,7,BOSTON MICROSYSTEMS INC
X7USJWX9MST5,3565669.0,7,Bismarck State College
HTREMNKMB9E7,1053240.0,7,Regis University
LSMRHTLQXBQ9,1402137.0,7,Voorhees College
WCMLW2MWGPZ4,4103877.0,7,Alverno College
NKF5HVBC2L68,3667191.0,7,St. John Fisher College
FLKBB6PP15C8,1502195.0,7,Rockhurst University
XQYZZHVHG6Y4,72299600.0,7,Arkansas Science & Technology Authority
HZNTJWTKY493,1950000.0,7,"Ekso Bionics, Inc."
NANOSYS INC,899206.0,7,NANOSYS INC
JQ4MHZXR9NB6,2454053.0,7,Scientific Solutions Incorporated
FMPGW7JS2SK3,2174568.0,7,Eureka Scientific Inc
FN1HX3UK9SX1,2523282.0,7,El Camino College
N7M7LMDS1FK6,909253.0,7,Albion College
HXVYJL2C8DY8,2366080.0,7,"Proton Energy Systems, Inc."
HT3NK1QGE1H8,4317103.0,7,Arcadia University
NLDHG92SMX37,1099952.0,7,"INTELLIGENT OPTICAL SYSTEMS, INC"
RMG1AZ1ZH8Q7,993379.0,7,Physical Sciences Incorporated (PSI)
E2TDP3KLWXH7,3381493.0,7,Lincoln Park Zoo
VSDMKZRELP11,155250.0,7,Paleontological Society
St. Cloud State University,1383589.0,7,St. Cloud State University
YJ4TTT2CRK67,705210.0,7,Emporia State University
E7PVK58C6UJ5,1148768.0,7,"Advanced Fuel Research, Inc."
University of the Pacific,1867106.0,7,University of the Pacific
PHMKYKKJLQS1,3167540.0,7,Sanford Burnham Prebys Medical Discovery Institute
M3KHEEYRM1S6,910731.0,7,Children's Research Institute
K5DGXNSLGLT5,959038.0,7,Chesapeake Research Consortium Inc
LUE9B6MDL4N5,9437368.0,7,Pratt Institute
QHNZEGD6NWL5,2560722.0,7,Merrimack College
M9RZSG4DM711,2292435.0,7,New England Board of Higher Education
MEHSK81BKN87,800000.0,7,"RES Group, Inc."
FV5WK6YTN215,499794.0,7,"UES, Inc."
Synkera Technologies Inc.,1700000.0,7,Synkera Technologies Inc.
JKTGZL5WS9B5,1967141.0,7,Stone Child College
"ADVANCED PHOTONIC CRYSTALS, LLC",1509014.0,7,"ADVANCED PHOTONIC CRYSTALS, LLC"
CQEPCKVGYKX4,549247.0,7,"NANOSPECTRA BIOSCIENCES, INC."
Coastal Carolina University,2689828.0,7,Coastal Carolina University
UEWTQ6NWAJK7,3858491.0,7,Ilisagvik College
NQEGVMEYYRT9,998136.0,7,"ADA Technologies, Inc."
"ONE CELL SYSTEMS, INC",1300000.0,7,"ONE CELL SYSTEMS, INC"
MV5VCLNQDF47,680000.0,7,Keystone Initiative for Network Based Education and Research
MWKDZBRKS2S9,15428754.0,7,"START International, Inc."
ZMFHKCP69TT8,2849721.0,7,Austin College
H6GMNPAX9CY8,6453417.0,7,Robert Morris University
DU1VHNJBYHU5,1141932.0,7,"ArchieMD, Inc"
CA5NVDL8LYJ5,6174722.0,7,Algebra Project Inc
S42UK27GCCT7,8085836.0,7,Fielding Graduate University
KFNNH3CBM7Q9,1048979.0,7,"APPLIED SCIENCES, INC."
JZD1HLM2ZU83,4402812.0,7,Children's Hospital Medical Center
PWD6BQ368DU9,1080553.0,7,Pitzer College
Institute for Learning Innovation Incorporated,784997.0,7,Institute for Learning Innovation Incorporated
JYF7XJQ3AS25,1393007.0,7,Five Colleges Inc
XD93A5U66T24,595144.0,7,Midwestern University
Institute for Genomic Research,4249809.0,7,Institute for Genomic Research
EHUHEAQXWAU5,6110735.0,7,Lewis University
KFJ7WLKY6987,1885387.0,7,University of Puerto Rico Cayey
YN5NTW6L5DL9,3704151.0,7,Johnson County Community College
LEFEAYV755L5,5692443.0,7,Lee College
MDSWM6MB1BH7,1258098.0,7,"Leidos, Inc."
LCA9B6NMW454,1449637.0,7,Innovative Micro Technology
G8MSRF6HV6T8,1896927.0,7,Reveo Incorporated
"VEGRANDIS, LLC",300000.0,7,"VEGRANDIS, LLC"
MXN8QYHCFNK4,2824612.0,7,Institute for the Study of Learning and Expertise
D1NQPM4XCZS4,1933194.0,7,Houston Community College
CYR6JGP3LFL7,157263.0,7,The Software Defined Radio Forum Inc.
H6KGL84TA7E4,200000.0,7,"VEGA WAVE SYSTEMS, INC."
J55EZDN4G947,8118548.0,7,Pacific Science Center Foundation
"GINER ELECTROCHEMICAL SYSTEMS, LLC",999334.0,7,"GINER ELECTROCHEMICAL SYSTEMS, LLC"
QT8SSYALAFS5,4028397.0,7,Delaware Technical &amp; Community College Stanton-Newark Campus
Prairie View A&M Research Foundation,1028560.0,7,Prairie View A&M Research Foundation
GKL3GR9NQ3W5,10019458.0,7,Child Trends Inc
C7U8CVQXNCB6,1561151.0,7,Linfield College
PPWDNJ5TPG19,938054.0,7,"BioDetection Instruments, Inc."
NYQJM58LU2K3,5995996.0,7,University of West Alabama
D5YWLV6J3BF7,1104227.0,7,Blackfeet Community College
KHR2T925ZCV6,922949.0,7,New York Academy of Sciences
D2Y5FFCV4K78,1248680.0,7,"K&amp;A Wireless, LLC"
NJ6GG4Z9N2J6,3676960.0,7,West Virginia State University
Department of Defense,82305484.0,7,Department of Defense
XKKGZWEK5Q69,6122782.0,7,Lane College
NJBCFCDT3J27,3237236.0,7,Red Rocks Community College
NJ2KHL3H5H81,5666163.0,7,"GPRA Strategic Management, Inc."
D22VFH3G7JM6,1274300.0,7,University of Redlands
ZFVQJHB3V3P8,1419616.0,7,SUNY College at Purchase
C98LPHRHN3B1,2612868.0,7,College of Our Lady of the Elms
EM9MF5KQP1P1,3661536.0,7,Holyoke Community College
Z4FKMZ74P7L4,2914791.0,7,Minneapolis Community and Technical College
JC6MG997HEK8,2617127.0,7,Ronin Institute for Independent Scholarship Incorporated
YDTVUWXQAZK9,1376674.0,7,Oregon Institute of Technology
CDQDVE2QW8H3,6406304.0,7,Association for Institutional Research
HHGDHGP1LGB1,396812.0,7,Society For Risk Analysis
JDCKBJDFLLL5,499961.0,7,Vescent Photonics LLC
NSNLFLXEDEJ8,5733281.0,7,Langston University
New York Medical College,793143.0,7,New York Medical College
N49DHX6D3FH60018,14777751.0,7,Collin County Community College
3DGEO DEVELOPMENT INC,1200000.0,7,3DGEO DEVELOPMENT INC
JDNRH32DML47,1550000.0,7,"COMPACT MEMBRANE SYSTEMS, INC"
YK9JLM6LSMR1,5032964.0,7,"Pellet Productions, Inc."
ZMZJKENKEL36,2806979.0,7,Wheeling Jesuit University
YNNFE39WPGW9,3189194.0,7,University of Evansville
JBCNNCHJVYC8,2436784.0,7,Alcorn State University
G7EZKCN2YAG8,2608602.0,7,Independent Colleges Office
HHASQQ5NK611,1368068.0,7,Ripon College
PX6NHQKHMMK3,4238353.0,7,Bristol Community College
LL3YSZYX2EU3,4003727.0,7,Lane Community College
H5G9NWEFHXN4,3934342.0,7,"Broad Institute, Inc."
VF76PNABM6D5,1244062.0,7,BOSSA NOVA TECHNOLOGIES LLC
MGPZGMNLJ8R9,1399996.0,7,SC SOLUTIONS INC
Delaware State University,1162769.0,6,Delaware State University
Department of Navy Naval Research Laboratory,882226.0,6,Department of Navy Naval Research Laboratory
"NEES Consortium, Inc.",779622.0,6,"NEES Consortium, Inc."
HVFJPKMCQNM6,400262.0,6,Hampden-Sydney College
WZVXKJBE3L84,1509114.0,6,Lewis and Clark Community College
M2HZEXP3FWG3,926393.0,6,Geospace Research Inc
GQNNW1Q2G3D8,3573090.0,6,Bellarmine University
CZLNU8FDYB55,1170677.0,6,University of Maine Farmington
DP58H2DK1867,457779.0,6,Virginia Museum of Natural History Foundation
ZVSAHZM8WZC9,3882556.0,6,Milwaukee Area Technical College
L4M8KPZS7JM5,876504.0,6,"Endangered Language Fund, Inc."
McPhee Research Company,701795.0,6,McPhee Research Company
HJCKFH4BP161,1943516.0,6,"Looking Glass Ventures, LLC"
DK6LPWMS5LP5,770500.0,6,KITWARE INC
COUNSIL OF THE INSPECTORS GENERAL ON INTEGRITY &amp; EFFICIENCY,79120.0,6,COUNSIL OF THE INSPECTORS GENERAL ON INTEGRITY &amp; EFFICIENCY
G6VVMPNK4Y48,1226556.0,6,Albany Medical College of Union University
V6GLTVM5KSA5,1089793.0,6,Arizona Western College
H1PBME1AJQU7,450000.0,6,EDENSPACE SYSTEMS CORP
MXF4ZM6CDBM6,700000.0,6,National Recovery Technologies LLC
QC6KNEVDQ7V7,2005910.0,6,PhylloTech Inc.
G7MMNTWY7MG5,699976.0,6,"GC Image, LLC"
G389SLC891D3,5900106.0,6,Society of Women Engineers
CV52PP94GAD5,2842781.0,6,University of The Incarnate Word
WC1GM4ABEXH4,1321015.0,6,Gordon College
"ProSpect Photonics, Inc.",1850000.0,6,"ProSpect Photonics, Inc."
HFFSS5QV6M44,3970011.0,6,Franklin County Historical Society
SE22S4GCCDG3,1222112.0,6,Fraunhofer Center for Experimental Software Engineering
GBJMUZDMLN84,400397.0,6,University of Wisconsin-Green Bay
KNSJJT2DJNS1,1924130.0,6,ARZEDA Corp.
H3PCNTGZMBJ3,1107153.0,6,Lac Courte Oreilles Ojibwa Community College
L7ECKXE86D77,3719160.0,6,PENNSYLVANIA WESTERN UNIVERSITY
"Filter Sensing Technologies, Inc.",1539899.0,6,"Filter Sensing Technologies, Inc."
S2VPZDS5W6M3,4009296.0,6,Palo Alto Research Center Incorporated
HFQ6DV4TVLK7,1449990.0,6,"Nanotek Instruments, Inc."
M13KBK5QKF43,1944061.0,6,KENT DISPLAYS INC
G95LD67WQ8N5,3571040.0,6,Broward College
CWMQNVLAPAM5,2795520.0,6,Mathematisches Forschungsinstitut Oberwolfach
Verionix,800000.0,6,Verionix
YDMHG8JQ7Z95,1572845.0,6,St Mary's College
XKHTJ63YJFG4,3021221.0,6,University of Texas of the Permian Basin
JXJJNNBNAJS4,3649627.0,6,Community College of Aurora
University of Central Oklahoma,828782.0,6,University of Central Oklahoma
Stockton University,593506.0,6,Stockton University
JYQMLR58EUM8,2969555.0,6,FARMSENSE INC.
FSB3WQ53UNW5,551392.0,6,Asian Technology Information Program
U11BUN3J3E88,849969.0,6,"Omega Optics, Inc."
FW2LLLFFGB81,2310534.0,6,Harford Community College
JUVTEM487L45,600000.0,6,Tertl Studos LLC
G7ZDFNZKCUB2,258973.0,6,Linguistic Society of America
Academy for Educational Development,3048741.0,6,Academy for Educational Development
P2EJM45BLZN6,919509.0,6,Salem State University
"Department of Energy, Princeton Plasma Physics Laboratory",475541.0,6,"Department of Energy, Princeton Plasma Physics Laboratory"
Middlesex County College,1113580.0,6,Middlesex County College
G7SXMGVJZHM3,1899952.0,6,Anasys Instruments Corp.
CSLPDV279GJ3,2650295.0,6,Piedmont Virginia Community College
WAMC Northeast Public Radio,705527.0,6,WAMC Northeast Public Radio
YVVTQD8CJC79,1529661.0,6,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY"
Q62ZHAWDM3B5,4932824.0,6,Daytona State College
YXNGL9KDXMM1,4944480.0,6,"COMPUTER SCIENCE TEACHERS ASSOCIATION, LLC."
HVQYC8JZB9A6,1890749.0,6,Hauptman-Woodward Medical Research Institute Inc
LTAMNZ6MT5Z8,2519707.0,6,Western Colorado University
NA5UHAGAF7N7,1453075.0,6,Northwest Missouri State University
RCBBF5J41AF6,1394621.0,6,Washington and Jefferson College
N9C8Z7UWZU43,2095422.0,6,William Rainey Harper College
D7YTG9L4KG88,3788293.0,6,Compuware Corporation
V4LMHD163EV7,999367.0,6,"OEPIC SEMICONDUCTORS, INC"
